Año,Grupos de edad,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 Y MÁS
2000,Total,4531903,4559289,4303199,3892549,3512809,3126789,3090498,2861042,2400033,1934462,1543977,1201176,1022583,820630,633911,466457,394256
2000,Hombres,2313137,2333458,2193723,1937921,1736923,1527438,1496025,1382718,1152792,933534,746169,579687,485651,386315,296754,213927,167602
2000,Mujeres,2218766,2225831,2109476,1954628,1775886,1599351,1594473,1478324,1247241,1000928,797808,621489,536932,434315,337157,252530,226654
2001,Total,4483100,4564326,4350315,3946975,3559376,3145858,3074689,2911279,2485106,2010813,1608362,1244652,1041814,843642,647977,480681,414576
2001,Hombres,2287005,2335845,2224040,1972491,1759267,1537896,1487666,1405954,1193246,968385,776515,600701,495428,396378,302320,220291,176451
2001,Mujeres,2196095,2228481,2126275,1974484,1800109,1607962,1587023,1505325,1291860,1042428,831847,643951,546386,447264,345657,260390,238125
2002,Total,4435696,4555574,4395163,4004494,3601872,3187462,3046636,2950661,2570616,2090334,1672790,1298125,1059073,869068,663454,492253,435553
2002,Hombres,2262421,2330548,2250898,2011674,1779087,1559671,1473889,1423358,1234668,1004315,806908,626083,504595,407737,308481,225465,185541
2002,Mujeres,2173275,2225026,2144265,1992820,1822785,1627791,1572747,1527303,1335948,1086019,865882,672042,554478,461331,354973,266788,250012
2003,Total,4394751,4533535,4436349,4063817,3643114,3244912,3016907,2978293,2653807,2173116,1738472,1358886,1077864,895346,680686,501922,457182
2003,Hombres,2241868,2317805,2273856,2053519,1798844,1589177,1459916,1434780,1275308,1041757,837756,654712,514593,419684,315488,229597,194900
2003,Mujeres,2152883,2215730,2162493,2010298,1844270,1655735,1556991,1543513,1378499,1131359,900716,704174,563271,475662,365198,272325,262282
2004,Total,4361947,4503026,4469817,4120564,3684783,3305888,2999680,2993406,2730043,2258938,1807496,1422656,1102732,920155,699741,508631,478986
2004,Hombres,2226098,2300518,2291882,2093987,1821054,1620048,1452854,1440561,1312395,1081242,869838,684684,527368,431206,323338,232228,204265
2004,Mujeres,2135849,2202508,2177935,2026577,1863729,1685840,1546826,1552845,1417648,1177696,937658,737972,575364,488949,376403,276403,274721
2005,Total,4343774,4465233,4491881,4178217,3730891,3364011,2995744,2997245,2798869,2343663,1878104,1485507,1132873,943764,720183,517556,501077
2005,Hombres,2218169,2278704,2302998,2133052,1846870,1648663,1452285,1440672,1345296,1120669,902304,714135,542379,442457,331951,235497,213734
2005,Mujeres,2125605,2186529,2188883,2045165,1884021,1715348,1543459,1556573,1453573,1222994,975800,771372,590494,501307,388232,282059,287343
2006,Total,4316610,4444274,4498911,4232054,3790021,3417361,3029977,2984592,2847362,2433168,1957033,1550708,1179212,957941,741365,505666,519701
2006,Hombres,2205385,2267073,2305677,2165840,1885460,1674464,1470724,1435105,1367379,1163284,937941,744475,564223,448898,340155,229302,221569
2006,Mujeres,2111225,2177201,2193234,2066214,1904561,1742897,1559253,1549487,1479983,1269884,1019092,806233,614989,509043,401210,276364,298132
2007,Total,4297255,4412559,4493645,4285932,3854851,3465252,3077931,2960959,2888093,2519309,2036775,1614072,1231608,972939,766321,510580,538848
2007,Hombres,2196428,2250467,2300857,2196745,1928584,1697414,1495687,1424205,1385527,1204613,973726,773759,588669,456293,350326,230171,229600
2007,Mujeres,2100827,2162092,2192788,2089187,1926267,1767838,1582244,1536754,1502566,1314696,1063049,840313,642939,516646,415995,280409,309248
2008,Total,4284814,4377126,4477459,4332778,3920781,3510362,3140418,2935155,2916573,2601526,2119205,1677944,1290610,990534,790685,527843,557334
2008,Hombres,2190668,2232998,2290035,2222389,1974161,1719894,1527929,1413011,1397842,1244460,1010850,803120,615865,465137,360579,236422,236995
2008,Mujeres,2094146,2144128,2187424,2110389,1946620,1790468,1612489,1522144,1518731,1357066,1108355,874824,674745,525397,430106,291421,320339
2009,Total,4279404,4341034,4453330,4369302,3985878,3559279,3205812,2920610,2931612,2675393,2203224,1744592,1351725,1015164,811787,555186,575500
