"","anio","mes","Fecha","hombres","mujeres","total"
"155",2003,11,2003-11-01,58305,4236,62541
"156",2003,12,2003-12-01,58098,4179,62277
"157",2004,1,2004-01-01,58402,4306,62708
"158",2004,2,2004-02-01,59136,4387,63523
"159",2004,3,2004-03-01,59956,4506,64462
"160",2004,4,2004-04-01,60645,4485,65130
"161",2004,5,2004-05-01,61899,4630,66529
"162",2004,6,2004-06-01,62218,4674,66892
"163",2004,7,2004-07-01,62540,4694,67234
"164",2004,8,2004-08-01,62995,4688,67683
"165",2004,9,2004-09-01,63355,4667,68022
"166",2004,10,2004-10-01,63889,4656,68545
"167",2004,11,2004-11-01,64248,4693,68941
"168",2004,12,2004-12-01,63385,4635,68020
"169",2005,1,2005-01-01,63934,4705,68639
"170",2005,2,2005-02-01,64380,4601,68981
"171",2005,3,2005-03-01,65075,4614,69689
"172",2005,4,2005-04-01,65281,4747,70028
"173",2005,5,2005-05-01,65895,4787,70682
"174",2005,6,2005-06-01,65885,4750,70635
"175",2005,7,2005-07-01,65473,4724,70197
"176",2005,8,2005-08-01,65103,4584,69687
"177",2005,9,2005-09-01,64959,4511,69470
"178",2005,10,2005-10-01,64415,4475,68890
"179",2005,11,2005-11-01,64234,4418,68652
"180",2005,12,2005-12-01,62707,4122,66829
"181",2006,1,2006-01-01,62519,4034,66553
"182",2006,2,2006-02-01,61800,3940,65740
"183",2006,3,2006-03-01,60786,3854,64640
"184",2006,4,2006-04-01,59904,3752,63656
"185",2006,5,2006-05-01,60137,3784,63921
"186",2006,6,2006-06-01,59386,3727,63113
"187",2006,7,2006-07-01,58591,3625,62216
"188",2006,8,2006-08-01,58053,3593,61646
"189",2006,9,2006-09-01,57534,3599,61133
"190",2006,10,2006-10-01,57612,3519,61131
"191",2006,11,2006-11-01,57620,3484,61104
"192",2006,12,2006-12-01,56626,3395,60021
"193",2007,1,2007-01-01,57008,3363,60371
"194",2007,2,2007-02-01,56981,3371,60352
"195",2007,3,2007-03-01,56662,3408,60070
"196",2007,4,2007-04-01,56935,3433,60368
"197",2007,5,2007-05-01,56712,3427,60139
"198",2007,6,2007-06-01,56718,3457,60175
"199",2007,7,2007-07-01,57472,3487,60959
"200",2007,8,2007-08-01,58363,3539,61902
"201",2007,9,2007-09-01,59390,3609,62999
"202",2007,10,2007-10-01,59984,3664,63648
"203",2007,11,2007-11-01,60252,3676,63928
"204",2007,12,2007-12-01,59971,3632,63603
"205",2008,1,2008-01-01,60523,3730,64253
"206",2008,2,2008-02-01,61156,3816,64972
"207",2008,3,2008-03-01,61868,3904,65772
"208",2008,4,2008-04-01,62409,3936,66345
"209",2008,5,2008-05-01,62935,3991,66926
"210",2008,6,2008-06-01,63562,4047,67609
"211",2008,7,2008-07-01,64219,4100,68319
"212",2008,8,2008-08-01,64815,4179,68994
"213",2008,9,2008-09-01,65530,4159,69689
"214",2008,10,2008-10-01,66193,4240,70433
"215",2008,11,2008-11-01,66166,4285,70451
"216",2008,12,2008-12-01,65786,4193,69979
"217",2009,1,2009-01-01,66640,4261,70901
"218",2009,2,2009-02-01,67552,4357,71909
"219",2009,3,2009-03-01,67828,4484,72312
"220",2009,4,2009-04-01,68407,4578,72985
"221",2009,5,2009-05-01,69109,4665,73774
"222",2009,6,2009-06-01,69826,4768,74594
"223",2009,7,2009-07-01,70013,4705,74718
"224",2009,8,2009-08-01,70557,4718,75275
"225",2009,9,2009-09-01,70991,4738,75729
"226",2009,10,2009-10-01,71644,4827,76471
"227",2009,11,2009-11-01,71773,4891,76664
"228",2009,12,2009-12-01,71204,4788,75992
"229",2010,1,2010-01-01,71910,4851,76761
"230",2010,2,2010-02-01,72770,4924,77694
"231",2010,3,2010-03-01,73774,5027,78801
"232",2010,4,2010-04-01,74609,5121,79730
"233",2010,5,2010-05-01,75311,5179,80490
"234",2010,6,2010-06-01,75702,5078,80780
"235",2010,7,2010-07-01,76155,5331,81486
"236",2010,8,2010-08-01,76531,5383,81914
"237",2010,9,2010-09-01,77340,5543,82883
"238",2010,10,2010-10-01,78051,5616,83667
"239",2010,11,2010-11-01,78811,5684,84495
"240",2010,12,2010-12-01,78760,5684,84444
"241",2011,1,2011-01-01,80206,5870,86076
"242",2011,2,2011-02-01,81635,6072,87707
"243",2011,3,2011-03-01,83231,6210,89441
"244",2011,4,2011-04-01,84169,6395,90564
"245",2011,5,2011-05-01,85679,6576,92255
"246",2011,6,2011-06-01,86698,6689,93387
"247",2011,7,2011-07-01,88425,6945,95370
"248",2011,8,2011-08-01,89887,7127,97014
"249",2011,9,2011-09-01,90930,7297,98227
"250",2011,10,2011-10-01,92519,7460,99979
"251",2011,11,2011-11-01,93150,7578,100728
"252",2011,12,2011-12-01,92968,7483,100451
"253",2012,1,2012-01-01,94659,7637,102296
"254",2012,2,2012-02-01,96781,7910,104691
"255",2012,3,2012-03-01,98117,7994,106111
"256",2012,4,2012-04-01,99211,8109,107320
"257",2012,5,2012-05-01,100552,8233,108785
"258",2012,6,2012-06-01,101432,8277,109709
"259",2012,7,2012-07-01,102653,8352,111005
"260",2012,8,2012-08-01,103501,8478,111979
"261",2012,9,2012-09-01,104534,8570,113104
"262",2012,10,2012-10-01,105660,8624,114284
"263",2012,11,2012-11-01,106093,8604,114697
"264",2012,12,2012-12-01,105387,8497,113884
"265",2013,1,2013-01-01,106293,8579,114872
"266",2013,2,2013-02-01,107057,8724,115781
"267",2013,3,2013-03-01,107556,8814,116370
"268",2013,4,2013-04-01,108136,8879,117015
"269",2013,5,2013-05-01,108550,8978,117528
"270",2013,6,2013-06-01,108882,8981,117863
"271",2013,7,2013-07-01,109156,9045,118201
"272",2013,8,2013-08-01,109392,9086,118478
"273",2013,9,2013-09-01,110203,9147,119350
"274",2013,10,2013-10-01,110877,9161,120038
"275",2013,11,2013-11-01,111153,9157,120310
"276",2013,12,2013-12-01,111046,8986,120032
"277",2014,1,2014-01-01,111646,8977,120623
"278",2014,2,2014-02-01,110997,8818,119815
"279",2014,3,2014-03-01,110251,8717,118968
"280",2014,4,2014-04-01,109493,8482,117975
"281",2014,5,2014-05-01,108956,8355,117311
"282",2014,6,2014-06-01,108929,8302,117231
"283",2014,7,2014-07-01,108887,8243,117130
"284",2014,8,2014-08-01,108626,8247,116873
"285",2014,9,2014-09-01,108845,8192,117037
"286",2014,10,2014-10-01,108301,8148,116449
"287",2014,11,2014-11-01,107510,8124,115634
"288",2014,12,2014-12-01,105675,7948,113623
"289",2015,1,2015-01-01,108640,8120,116760
"290",2015,2,2015-02-01,109879,8180,118059
"291",2015,3,2015-03-01,110359,8299,118658
"292",2015,4,2015-04-01,111022,8356,119378
"293",2015,5,2015-05-01,111779,8421,120200
"294",2015,6,2015-06-01,112423,8482,120905
"295",2015,7,2015-07-01,112388,8452,120840
"296",2015,8,2015-08-01,112820,8437,121257
"297",2015,9,2015-09-01,112959,8430,121389
"298",2015,10,2015-10-01,112921,8374,121295
"299",2015,11,2015-11-01,112891,8405,121296
"300",2015,12,2015-12-01,112188,8256,120444
"301",2016,1,2016-01-01,112496,8240,120736
"302",2016,2,2016-02-01,113083,8273,121356
"303",2016,3,2016-03-01,113625,8395,122020
"304",2016,4,2016-04-01,113617,8399,122016
"305",2016,5,2016-05-01,113579,8366,121945
"306",2016,6,2016-06-01,112907,8323,121230
"307",2016,7,2016-07-01,112446,8211,120657
"308",2016,8,2016-08-01,112669,8052,120721
"309",2016,9,2016-09-01,112853,8061,120914
"310",2016,10,2016-10-01,112663,8005,120668
"311",2016,11,2016-11-01,112273,7900,120173
"312",2016,12,2016-12-01,110753,7779,118532
"313",2017,1,2017-01-01,111125,7800,118925
